Date,Open,High,Low,Close,Volume,Adjusted Close
2012-11-06,54.21,54.21,54.21,54.21,0.0,49.24
2012-11-05,54.21,54.21,54.21,54.21,0.0,49.24
2012-11-02,54.21,54.21,54.21,54.21,400.0,49.24
2012-11-01,54.21,54.21,54.21,54.21,0.0,49.24
2012-10-31,54.21,54.21,54.21,54.21,0.0,49.24
2012-10-30,54.21,54.21,54.21,54.21,0.0,49.24
2012-10-29,54.21,54.21,54.21,54.21,100.0,49.24
2012-10-26,54.6,54.6,54.47,54.47,800.0,49.47
2012-10-25,54.55,54.55,54.55,54.55,300.0,49.55
2012-10-24,54.55,54.55,54.55,54.55,0.0,49.55
2012-10-23,54.62,54.62,54.55,54.55,900.0,49.55
2012-10-22,54.62,54.62,54.62,54.62,0.0,49.61
2012-10-19,54.22,54.62,54.22,54.62,2100.0,49.61
2012-10-18,54.25,54.25,54.25,54.25,0.0,49.27
2012-10-17,54.25,54.25,54.25,54.25,200.0,49.27
2012-10-16,54.5,54.5,54.5,54.5,500.0,49.5
2012-10-15,54.22,54.22,54.22,54.22,0.0,49.25
2012-10-12,54.22,54.22,54.22,54.22,300.0,49.25
2012-10-11,54.22,54.22,54.22,54.22,100.0,49.25
2012-10-10,54.22,54.22,54.22,54.22,200.0,49.25
2012-10-09,54.76,54.76,54.76,54.76,0.0,49.74
2012-10-05,54.75,54.76,54.75,54.76,300.0,49.74
2012-10-04,55.5,55.5,55.5,55.5,0.0,50.41
2012-10-03,55.5,55.5,55.5,55.5,200.0,50.41
2012-10-02,55.5,55.5,55.5,55.5,500.0,50.41
2012-10-01,55.5,55.5,55.5,55.5,400.0,50.41
2012-09-28,55.8,55.8,55.8,55.8,300.0,50.68
2012-09-27,56.0,56.0,56.0,56.0,400.0,50.86
2012-09-26,56.0,56.0,56.0,56.0,0.0,50.86
2012-09-25,56.0,56.0,56.0,56.0,200.0,50.86
2012-09-24,56.19,56.19,56.19,56.19,0.0,51.04
2012-09-21,55.59,56.19,55.59,56.19,400.0,51.04
2012-09-20,55.5,55.7,55.25,55.69,1700.0,50.58
2012-09-19,55.6,55.7,55.55,55.7,900.0,50.59
2012-09-18,55.54,55.54,55.54,55.54,0.0,50.44
2012-09-17,55.54,55.54,55.54,55.54,0.0,50.44
2012-09-14,55.55,55.55,55.54,55.54,1200.0,50.44
2012-09-13,55.16,55.5,55.15,55.5,400.0,50.41
2012-09-12,55.0,55.0,55.0,55.0,0.0,49.95
2012-09-11,55.0,55.0,55.0,55.0,400.0,49.82
2012-09-10,55.0,55.0,55.0,55.0,0.0,49.82
2012-09-07,54.75,55.0,54.75,55.0,200.0,49.82
2012-09-06,54.5,54.5,54.5,54.5,400.0,49.37
2012-09-05,54.5,54.5,54.5,54.5,0.0,49.37
2012-09-04,54.5,54.5,54.5,54.5,0.0,49.37
2012-08-31,54.5,54.5,54.5,54.5,200.0,49.37
2012-08-30,54.75,54.75,54.75,54.75,100.0,49.59
2012-08-29,55.12,55.12,55.12,55.12,0.0,49.93
2012-08-28,55.12,55.12,55.12,55.12,600.0,49.93
2012-08-27,55.1,55.1,55.1,55.1,0.0,49.91
